STRATO	M1	M2	M3	M4	S1	S2	S3	S4	N	DOM1	COST	CENS	SOLUZ
1	206.6875	199.3125	192.25	99.75	360.157219808023	363.518157442645	333.117658838701	195.920812745517	16	6	1	0	2
2	431.222222222222	424.611111111111	399.277777777778	188.222222222222	425.750461240987	416.951821058627	384.799803775079	173.796028464493	18	6	1	0	2.1090663535674
3	298.4	299.142857142857	303.371428571429	133.542857142857	230.517947554721	252.424471889124	254.293484460827	116.245517265386	35	6	1	0	2.31829451113686
4	2006.625	2445.4375	2617.4375	1114.5	541.08636383206	621.297605696135	691.751465371596	402.337350677264	16	6	1	0	2.59268801266058
5	2917.5	3522.5	3713	1537.5	687.080053559991	858.079978789856	766.557890834084	384.446355165451	4	6	1	0	2
6	4467.25	5898	6111.25	2342.5	1339.54215592493	1435.65803727768	1590.49007777477	850.058380348079	4	6	1	0	2
7	6510.66666666667	11006	11317.3333333333	6903	2170.46388410916	5541.59675394496	4852.18715002718	4270.93155334212	3	6	1	0	2.49701838248313
8	615.428571428572	677.857142857143	689.657142857143	280.114285714286	218.2016694792	278.402741268772	310.454571687963	154.71797400445	35	6	1	0	2.37041437349647
9	546.51724137931	575.689655172414	604.172413793104	240.689655172414	290.692027290899	343.280011321079	382.847555433224	155.203355764559	29	6	1	0	2.54853646370525
10	1183.88461538462	1273.76923076923	1364.07692307692	559.038461538461	313.190249617738	374.506936811484	475.375357788182	185.60809753655	26	6	1	0	2.58923141617273
