STRATO	M1	M2	M3	M4	S1	S2	S3	S4	N	DOM1	COST	CENS	SOLUZ
1	101.172248803828	109.205741626794	135.282296650718	58.8421052631579	160.775299782171	181.285698474759	220.787057974235	96.0287886075607	209	1	1	0	6.59980119353914
2	133	159.5	209	130.5	35	53.5	93	87.5	2	1	1	0	2
3	283.164556962025	308.329113924051	360.721518987342	143.556962025316	241.054538954656	279.669715990004	298.488958425158	141.867194420724	79	1	1	0	3.74031039338312
4	494.212121212121	582.878787878788	647	235.484848484848	561.525114680964	701.943850723821	664.192403625705	178.196501007144	33	1	1	0	3.63955565092652
5	1754.25	1961.625	2429	952.875000000001	545.156469638661	586.087271599167	774.499175094603	316.004348488892	8	1	1	0	2
6	1800	2001	3045	1424	0	0	0	0	1	1	1	0	1
7	1605.1	1729.4	2216.9	1095.2	700.757333176043	914.046030706332	1084.09343289681	655.646220342953	10	1	1	0	2
8	1580.77777777778	1982.11111111111	2183	954.777777777778	1121.59608495116	1505.52513294396	1578.1411866301	796.088958364346	9	1	1	0	2
9	147.697674418604	150.523255813954	188.941860465116	75.5930232558139	53.8744747486272	50.6097163736795	64.2959122722097	30.5380285195652	86	1	1	0	2
10	240.390243902439	264.70731707317	291.731707317073	127.268292682927	262.654947327324	347.342627776889	314.559060910234	110.443816209388	41	1	1	0	2.1151183913306
11	416.655172413793	471.465517241379	552.431034482758	217.793103448276	312.449731799277	406.806035780487	407.404186370981	159.231977021944	58	1	1	0	3.55937207663061
12	346.5	411	494.75	269.25	247.967907869816	296.623405085378	334.163913122487	161.071822316768	4	1	1	0	2
13	626	758	1059	558	0	0	0	0	1	1	1	0	1
14	1140	1062	1701	794	0	0	0	0	1	1	1	0	1
