STRATO	M1	M2	M3	M4	S1	S2	S3	S4	N	DOM1	COST	CENS	SOLUZ
1	84.5833333333333	87.6309523809524	102.119047619048	51.4047619047619	169.212049097557	192.576852423326	202.527355954225	86.8552050543896	84	5	1	0	3.31683641721197
2	200.571428571429	199.771428571429	258.714285714286	139.571428571429	281.324616930095	291.343897653392	360.711171735958	185.032119956547	35	5	1	0	2.46143692697498
3	186.357142857143	187.107142857143	234.642857142857	102.089285714286	351.852765052615	362.658192310907	472.087099947824	185.554880015674	56	5	1	0	5.15431829806509
4	692.615384615385	791.115384615385	860.769230769231	395.307692307692	873.451576269744	1047.04110604826	1103.13067634618	523.26415142168	26	5	1	0	5.59192559159157
5	1016.58823529412	1105.52941176471	1238.35294117647	545.235294117647	419.041764608961	628.412535927967	593.994281382303	380.65088384499	17	5	1	0	2
6	693.344827586207	733.03448275862	879.51724137931	399.413793103448	677.6239224811	795.075641489996	904.260573056761	456.340103674472	29	5	1	0	5.11272775025385
7	2493	2782.33333333333	3308	1754	534.094170847551	410.129925213408	348.804505895972	119.768874643345	3	5	1	0	2
8	312.441176470588	326.382352941176	373.323529411765	168.941176470588	183.891238271219	333.153472810993	335.917375124329	137.371917912669	34	5	1	0	2.22675511732764
9	381.684210526316	408.368421052632	450.842105263158	200.631578947368	101.776919976683	188.850092348269	150.508886749168	73.4376898636496	38	5	1	0	2
10	320	375.875	427.5	159	191.021413866497	165.218400281768	166.025014848834	61.7558476763311	8	5	1	0	2
11	553.428571428571	570.535714285714	628.857142857143	261.535714285714	145.995742171745	178.039180558658	178.865641274767	108.279680284849	28	5	1	0	2
12	883.222222222222	946.222222222222	1034.66666666667	456.666666666667	373.132473351962	357.80760359203	360.458659381984	173.750563725882	18	5	1	0	2
13	1236.25	1336.5	1492	725.25	181.122023785071	177.302550586403	237.747765499489	59.545209248473	4	5	1	0	2
14	1601	1668	1930	797	0	0	0	0	1	5	1	0	1
