STRATO	M1	M2	M3	M4	S1	S2	S3	S4	N	DOM1	COST	CENS	SOLUZ
1	91.7039337474121	93.5486542443064	111.722567287785	51.8509316770186	49.7765203781152	51.5470084386729	61.7775788039332	32.6220326228563	483	2	1	0	2
2	2328.07142857143	2847.78571428571	3388.14285714286	1515.5	216.433812551135	344.628006539162	373.912136234681	312.592354480024	14	2	1	0	2
3	1536.21428571428	1818.21428571429	2164.71428571429	1051.92857142857	204.990383326233	275.250495065883	187.44115932371	220.780440334888	14	2	1	0	2
4	2955.44444444444	4014	4810.55555555556	2817.22222222222	273.594432655796	660.88988829036	393.642000669845	442.011381899149	9	2	1	0	2
5	7505.2	11340.6	11433.8	6447.6	763.034835377783	1001.10590848321	1467.23255143825	833.649950518801	5	2	1	0	2
6	9127	14825	15140	9563	0	0	0	0	1	2	1	0	1
7	19399	44263	39397	25575	0	0	0	0	1	2	1	0	1
8	304.369158878505	315.401869158879	380.03738317757	171.556074766355	82.7107582854772	81.8673159763903	98.3464540025533	59.2920503442928	214	2	1	0	2
9	600.622807017544	677.30701754386	804.763157894737	372.578947368421	116.013411564558	135.968877376262	167.315445515113	106.811837560271	114	2	1	0	2
10	1038.05172413793	1219.18965517241	1429.12068965517	709.379310344828	158.841603528154	212.492377324175	207.841918618125	173.562100656419	58	2	1	0	2
