STRATO	M1	M2	M3	M4	S1	S2	S3	S4	N	DOM1	COST	CENS	SOLUZ
1	209.292682926829	234.463414634146	297.341463414634	116.414634146342	355.194249231373	428.662440484765	546.147222724211	219.28588377693	41	3	1	0	3.18810615558735
2	1634	2437	2655	887	0	0	0	0	1	3	1	0	1
3	1625	2187	2539	1210	0	0	0	0	1	3	1	0	1
4	1720.85714285714	2300.85714285714	2643.85714285714	1340.42857142857	511.942473001865	803.614367106766	755.933592098714	507.322412881833	7	3	1	0	2
5	2164.5	2680.5	3144.83333333333	1478.16666666666	198.641194302878	397.551103167417	512.252894357638	384.521190958698	6	3	1	0	2
6	2346	3230.6	3851.2	1817.2	536.698751628882	499.778140778486	669.447615575707	616.987933431441	5	3	1	0	2
7	944.416666666667	1107.66666666667	1354.66666666667	514.5	489.750570585567	678.252569516368	782.179343600657	354.222757127018	12	3	1	0	2
8	164.408163265306	169.591836734694	208.081632653061	75.1428571428571	84.0441744698714	91.5119343686243	103.044467966918	55.9285150385185	49	3	1	0	2
9	338.301724137931	361.913793103448	443.26724137931	157.120689655173	142.697759288718	172.744734243741	208.476872400429	90.1430974431185	116	3	1	0	3.62374908901712
10	691	788.854166666667	937.645833333334	357.020833333333	356.239928811188	434.411533199317	527.147848727397	223.719621269556	48	3	1	0	3.74340497021658
11	986.695652173913	1187.08695652174	1365.86956521739	597.478260869565	372.661306957562	482.083532748484	474.207967691426	241.102264616605	23	3	1	0	2
12	1256	1566	1605	652	0	0	0	0	1	3	1	0	1
13	1511	1875	2040	702	0	0	0	0	1	3	1	0	1
