STRATO	M1	M2	M3	M4	S1	S2	S3	S4	N	DOM1	COST	CENS	SOLUZ
1	440.129032258064	525.064516129032	608.241935483871	277.483870967742	577.499108751311	743.724660835226	832.104454840156	424.482675391884	62	3	1	0	8.37116920055115
2	1634	2437	2655	887	0	0	0	0	1	3	1	0	1
3	1367.5	1805	2070	966.5	257.5	382	469	243.5	2	3	1	0	2
4	1885	2312	3027	1210	0	0	0	0	1	3	1	0	1
5	618.2	695.76	830.4	350.84	293.467338330293	327.406844932481	388.469570881986	205.296103960194	25	3	1	0	2
6	1960.66666666667	2517.16666666667	2953.5	1352.61111111111	520.736454693651	745.076870671662	911.27083373024	570.139333468496	18	3	1	0	2.19477004734869
7	1960	2653	2954.5	1410	821	1279	1198.5	654	2	3	1	0	2
8	262.992647058824	278.860294117647	340.977941176471	117.242647058824	107.842469116665	117.349052571385	143.507112996219	59.3468168426749	136	3	1	0	3.42742950060356
9	485.820512820513	540.282051282051	653.410256410256	238.74358974359	235.157617034799	311.29717457627	384.220883926136	128.187036135087	39	3	1	0	2.14615654779481
10	871.875	1033.5	1267.4375	443.625	138.25847648316	188.932077374677	212.573728182001	98.9139149434721	16	3	1	0	2
11	994.625	1141.375	1396.375	559.25	109.625680981034	155.702691450726	296.064671871797	177.162011933208	8	3	1	0	2
12	1034	1187	1284	523	0	0	0	0	1	3	1	0	1
