STRATO	M1	M2	M3	M4	S1	S2	S3	S4	N	DOM1	COST	CENS	SOLUZ
1	334.285714285714	367.107142857143	414.535714285715	147.285714285714	476.46865940585	568.316465149407	673.420883445991	236.287379942809	28	6	1	0	4.33859880019994
2	661	721	860.5	309	620	666	795.5	264	2	6	1	0	2
3	46	44	56	21	0	0	0	0	1	6	1	0	1
4	1335.75	1667.5	1757.375	739.375	707.198831659103	867.026527852522	884.409804968828	413.653179759324	8	6	1	0	2
5	731.25	807.875	772.625	330.9375	420.235646114541	448.010323057769	398.598474600796	240.812142909845	16	6	1	0	2
6	1348.9375	1657.25	1833.125	767.3125	868.22931413716	1214.32682254179	1355.2943119024	571.885253019806	16	6	1	0	4.98951667739789
7	464.388888888889	495.388888888889	532.111111111111	241.944444444444	400.590381133634	440.988954367599	505.413792124127	235.189434425925	18	6	1	0	2.09326626549983
8	503.565217391304	534.608695652174	580	191.826086956522	253.573856681475	299.675890299707	366.299229597695	117.686215189937	23	6	1	0	2
9	474.666666666667	500.333333333333	497.666666666667	200.714285714286	313.452612911391	345.323274727718	359.358910298263	153.736882996214	21	6	1	0	2
10	545.666666666667	591.666666666667	568.333333333333	253	119.77989072554	178.561536233933	222.456300327852	99.3243843843662	3	6	1	0	2
