STRATO	M1	M2	M3	M4	S1	S2	S3	S4	N	DOM1	COST	CENS	SOLUZ
1	67.3501945525292	68.0000000000001	80.1634241245137	36.9844357976654	68.798180708656	67.5810696386308	79.6556992504812	41.2775811476315	257	2	1	0	2.02731686555034
2	220.347826086957	226.173913043478	306.521739130435	154.608695652174	414.74379942555	471.237092644161	655.739273238246	337.735003273962	23	2	1	0	2
3	788.111111111111	974.916666666667	1134.25	554.333333333333	789.743587709772	1022.64425927031	1186.00429844906	606.914276749069	36	2	1	0	4.0521959913575
4	1985.35294117647	2463.23529411765	2908.29411764706	1431.58823529412	736.731141625199	922.118837029154	1182.82788521569	658.701824391251	17	2	1	0	2
5	132.561151079137	138.302158273381	167.942446043166	74.3884892086331	30.1595051093519	34.2077540467701	40.8008780470468	25.8254701904895	139	2	1	0	2
6	238.924528301887	256.295597484277	301.207547169811	134.081761006289	169.882307069669	198.432512163599	237.221448197233	108.971503842012	159	2	1	0	3.61603781781577
7	311.857142857143	338.428571428571	461.714285714286	224.285714285714	70.1285015859735	51.1405825511743	89.1507059273618	43.9900452560878	7	2	1	0	2
8	595.602272727273	675.602272727273	808.397727272728	387.5	260.249806842616	324.584314638442	378.210079448657	207.393817074925	88	2	1	0	3.1726799364657
9	382.493333333333	399.96	483.04	209.8	65.4384096276174	79.2290209310873	78.9696450165338	60.0102767609745	75	2	1	0	2
10	736.666666666667	843.5	1019.5	485.75	240.183920868199	322.223481798304	364.005631188636	236.265343961406	12	2	1	0	2
11	763	863.541666666667	1055.95833333333	475.208333333333	141.040713372152	146.064041075732	183.217836297891	93.2632727819921	24	2	1	0	2
12	926	1022	1289	928	0	0	0	0	1	2	1	0	1
13	1240.5	1472	1724.16666666667	748	70.3242490183862	108.925433210063	100.083784345362	131.114652435696	6	2	1	0	2
