STRATO	M1	M2	M3	M4	S1	S2	S3	S4	N	DOM1	COST	CENS	SOLUZ
1	73.4522613065327	77.356783919598	91.7035175879398	40.7788944723618	136.008742052448	154.447626881624	167.661277228018	68.6719657420934	199	1	1	0	5.5525806495335
2	613.4	588.6	832.4	396	497.176266529286	464.576193966071	716.591682898985	320.22523323436	5	1	1	0	2
3	326.64	359.16	422.56	178.48	686.232345578516	754.891325771173	913.422096509515	379.189886414639	25	1	1	0	3.51954213134552
4	603.25	708.95	814.05	359.4	762.657427282321	1039.79878542277	1081.66297428909	532.955818684944	20	1	1	0	3.12920830900546
5	1343.36363636364	1474.36363636364	1824.18181818182	719.000000000001	648.228992687394	700.033751777143	892.162747797905	372.055586158735	11	1	1	0	2
6	1136.33333333333	1383	1829.33333333333	811.666666666667	491.394161770591	507.476764656931	869.785541894604	435.101776088716	3	1	1	0	2
7	1468.35714285714	1838.92857142857	1998.42857142857	889.357142857143	1038.81791481828	1327.02658410365	1436.85218161875	737.533515466975	14	1	1	0	2.98361266016926
8	711.166666666667	785.166666666667	935	332.333333333333	667.376239879392	791.736912672947	1004.09908541604	366.993799523764	6	1	1	0	2
9	177.236842105263	190.5	233.973684210526	92.7105263157895	162.638051284963	194.042678218291	236.661481510392	105.300121253443	76	1	1	0	2.53577507843014
10	195.333333333333	203.0625	242.104166666667	111.833333333333	213.969725322682	230.228256346769	252.562397083121	115.05337061125	48	1	1	0	2.10701943514067
11	456.809523809524	513.571428571429	620.571428571428	243.047619047619	288.969095500939	334.541964536154	349.377867306778	159.089329111629	42	1	1	0	2.48986421805872
12	314.48	337.52	421.626666666667	161.786666666667	123.184792921836	145.098269898417	181.462589302113	95.3767972609326	75	1	1	0	2
13	407.333333333333	446.666666666667	578.5	232.833333333333	163.398838905163	173.208037647089	277.798263133519	73.4825187072106	6	1	1	0	2
14	256	303.25	356	189.25	93.173672962556	111.712273025145	98.9360062532005	32.0020615655375	4	1	1	0	2
15	628	749.8	812	376.8	204.306295791393	207.597350657469	284.612477765821	146.315147882917	5	1	1	0	2
16	787	841	991	628	0	0	0	0	1	1	1	0	1
17	878	969	1109	640	0	0	0	0	1	1	1	0	1
18	1262	1291	1281	447	0	0	0	0	1	1	1	0	1
